Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
TCNB,TOWN CENTER BANK (IL),OTCQX U.S.,4.000000,,0,Common Stock,USA,Illinois
ZNOG,ZION OIL & GAS INC,OTCQX U.S.,0.144400,6.176500,1741633,Common Stock,USA,Texas
ZNOGW,ZION OIL & GAS  INC WTS,OTCQX U.S.,1.210000,,0,Warrants,USA,Texas
USMT,US METRO BANCORP,OTCQX U.S.,4.650000,-4.321000,4700,Common Stock,USA,California
FTLF,FITLIFE BRANDS INC,OTCQX U.S.,13.800000,,0,Common Stock,USA,Nebraska
OMHI,OM HOLDINGS INTL INC,OTCQX U.S.,0.300000,-28.366800,2982,Common Stock,USA,Florida
MNMB,MERCHANTS & MARINE BNCORP,OTCQX U.S.,39.750000,-0.872800,500,Common Stock,USA,Mississippi
GNRV,GRAND RIVER COMMERCE INC,OTCQX U.S.,7.000000,,0,Common Stock,USA,Michigan
UNRV,UNRIVALED BRANDS INC,OTCQX U.S.,0.214220,6.949600,525475,Common Stock,USA,California
INLB,ITEM 9 LABS CORP,OTCQX U.S.,1.100000,0.000000,9950,Common Stock,USA,Arizona
MRMD,MARIMED INC,OTCQX U.S.,0.752870,0.839800,681966,Common Stock,USA,Massachusetts
IQST,IQSTEL INC,OTCQX U.S.,0.509000,3.835200,424753,Common Stock,USA,Florida
CSHX,CASHMERE VALLEY BANK,OTCQX U.S.,71.032000,0.740300,750,Common Stock,USA,Washington
TGEN,TECOGEN INC,OTCQX U.S.,1.440000,,0,Common Stock,USA,Massachusetts
GBTC,GRAYSCALE BITCOIN TRUST,OTCQX U.S.,30.177000,-1.863400,4982451,Common Stock,USA,Connecticut
AKOM,AERKOMM INC,OTCQX U.S.,8.000000,0.000000,100,Common Stock,USA,Nevada
IBTN,INSCORP INC,OTCQX U.S.,21.250000,,25,Common Stock,USA,Tennessee
SHWZ,MEDICINE MAN TECH INC,OTCQX U.S.,1.690000,1.191500,77396,Common Stock,USA,Colorado
PKKW,PARKWAY ACQUISITION CORP,OTCQX U.S.,13.100000,,2,Common Stock,USA,Virginia
OTTW,OTTAWA BANCORP INC,OTCQX U.S.,14.600000,,0,Common Stock,USA,Illinois
CCNB,COASTAL CAROLINA BANC,OTCQX U.S.,11.220000,-0.266700,1853,Common Stock,USA,South Carolina
EVTV,ENVIROTECH VEHICLES INC,OTCQX U.S.,0.259500,5.918400,209048,Common Stock,USA,California
STMH,STEM HLDGS INC,OTCQX U.S.,0.080000,6.100800,287952,Foreign Ordinary Shares,USA,Florida
COSO,COASTALSOUTH BANCSHARES,OTCQX U.S.,24.990000,,5,Common Stock,USA,South Carolina
TDGMW,TIDEWATER INC 11/14/42 WT,OTCQX U.S.,16.180000,1.125000,78582,Warrants,USA,Texas
CRSS,CROSSROADS SYS INC NEW,OTCQX U.S.,12.900000,,130,Common Stock,USA,Texas
SVBT,SVB&T CORP,OTCQX U.S.,102.500000,,0,Common Stock,USA,Indiana
ETCG,GRAYSCALE ETHRM CLSSIC TR,OTCQX U.S.,10.240000,-4.299100,44713,Common Stock,USA,Connecticut
GBFH,GBANK FINL HLDGS INC,OTCQX U.S.,11.550000,-2.777800,12200,Common Stock,USA,Nevada
BSFO,BANK OF SAN FRANCISCO,OTCQX U.S.,25.000000,,0,Common Stock,USA,California
WRIV,WHITE RIVER BANCSHARES CO,OTCQX U.S.,80.990000,-0.135600,100,Common Stock,USA,Arkansas
UCASU,UC ASSET LTD PRTNSHP UTS,OTCQX U.S.,1.200000,12.149500,255,Units,USA,Georgia
FNBT,FINEMARK HOLDINGS INC,OTCQX U.S.,36.000000,,0,Common Stock,USA,Florida
ZCSH,GRAYSCALE ZCASH TR ZEC,OTCQX U.S.,7.300000,0.343600,7831,Common Stock,USA,Connecticut
OSBK,OCONEE FINL CORP,OTCQX U.S.,44.000000,,0,Common Stock,USA,Georgia
ETHE,GRAYSCALE ETHRM TR ETH,OTCQX U.S.,23.710000,-1.618300,2799690,Common Stock,USA,Connecticut
ALPIB,ALPINE BKS COLO CL B,OTCQX U.S.,31.940000,0.000000,1203,Common Stock,USA,Colorado
PPHI,POSITIVE PHYSICIANS HLDGS,OTCQX U.S.,13.540000,,0,Common Stock,USA,Pennsylvania
DSBX,DOGWOOD STATE BK RLGH NC,OTCQX U.S.,18.000000,0.000000,800,Common Stock,USA,North Carolina
